epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,4882.19,1.43921,1.08173,1.11583,0.50035,0.49316,0.44,0.15574,2.97126,2.09992,2.11193,0.000229063,0.000229063,0.000229063
167,4917.46,1.48936,1.13866,1.12918,0.51385,0.50077,0.43912,0.15063,2.9634,2.08571,2.08416,0.000222875,0.000222875,0.000222875
168,4946.14,1.54073,1.12677,1.15529,0.51023,0.49734,0.42974,0.14883,2.94213,2.06946,2.07139,0.000216688,0.000216688,0.000216688
169,4975.42,1.49947,1.11141,1.13277,0.51023,0.49734,0.42974,0.14883,2.94213,2.06946,2.07139,0.0002105,0.0002105,0.0002105
170,5000.82,1.44661,1.09697,1.13329,0.51535,0.49953,0.43685,0.15539,2.93607,2.06729,2.07271,0.000204313,0.000204313,0.000204313
171,5026.37,1.53799,1.2008,1.21254,0.47095,0.49536,0.43432,0.1628,2.94156,2.08532,2.08681,0.000198125,0.000198125,0.000198125
172,5053.08,1.45708,1.0999,1.11638,0.54507,0.50196,0.47738,0.17147,2.94429,2.0839,2.09213,0.000191938,0.000191938,0.000191938
173,5078.35,1.42417,1.09069,1.12714,0.54507,0.50196,0.47738,0.17147,2.94429,2.0839,2.09213,0.00018575,0.00018575,0.00018575
174,5103.9,1.50715,1.1132,1.13826,0.52958,0.49818,0.47857,0.1707,2.96559,2.08108,2.0981,0.000179563,0.000179563,0.000179563
175,5128.12,1.43815,1.12637,1.13323,0.49784,0.45665,0.4225,0.1661,2.96704,2.07632,2.08732,0.000173375,0.000173375,0.000173375
176,5162.12,1.40523,1.06238,1.12554,0.49261,0.43911,0.41987,0.16689,2.97636,2.08087,2.08813,0.000167188,0.000167188,0.000167188
177,5198.21,1.38186,1.0276,1.08068,0.49261,0.43911,0.41987,0.16689,2.97636,2.08087,2.08813,0.000161,0.000161,0.000161
178,5227.05,1.35651,1.05818,1.10418,0.48983,0.442,0.42058,0.16434,2.97094,2.07009,2.09109,0.000154812,0.000154812,0.000154812
179,5255.27,1.44127,1.06232,1.11233,0.49144,0.44669,0.42605,0.1586,2.94762,2.05036,2.08373,0.000148625,0.000148625,0.000148625
